,course,channel_name,playlist_id
50,Core Python (Hindi),Geeky Shows,PLbGui_ZYuhigZkqrHbI_ZkPBrIr5Rsd5L
51,Python Programming Beginner Tutorials,Corey Schafer,PL-osiE80TeTskrapNbzXhwoFUiLCjGgY7
52,2017-2018 Алгоритмы и структуры данных на Python 3,Тимофей Хирьянов,PLRDzFCPr95fK7tr47883DFUbm4GeOjjc0
53,Python tutorials for beginners in hindi,Harshit vashisth,PLwgFb6VsUj_mZJBbyJhcIocCPgLIbmV-R
54,[Python] Lập trình Python cơ bản - Howkteam,K team,PL33lvabfss1xczCv2BA0SaNJHu_VXsFtg
55,Python Programming Video Tutorials for Beginners,Amulya's Academy,PLzgPDYo_3xunqaoZnnTaoka2R6psn5u2T
56,Terraria 1.3.3 / 1.3.4 || Python&#39;s Realm,PythonGB,PL4uClqJN4QKULcq7tR8E9kWyxMX9YHhdZ
57,Programming Foundations with Python,Udacity,PLAwxTw4SYaPnYajEbZvqtcVWQ6XGhvtOW
58,Python GUI&#39;s With TKinter,Codemy.com,PLCC34OHNcOtoC6GglhF3ncJ5rLwQrLGnV
59,Curso de Python 3 - Mundo 3: Estruturas Compostas,Curso em Vídeo,PLHz_AreHm4dksnH2jVTIVNviIMBVYyFnH
60,Python Tutorial: Learn Python For Data Science,DataCamp,PLjgj6kdf_snaw8QnlhK5f3DzFDFKDU5f4
61,Python Programming for Finance,sentdex,PLQVvvaa0QuDcOdF96TBtRtuQksErCEBYZ
62,Python Bangla Tutorials for Beginners,Anisul Islam,PLgH5QX0i9K3rz5XqMsTk41_j15_6682BN
63,Learning to program with Python 3 (py 3.7),sentdex,PLQVvvaa0QuDeAams7fkdcwOGBpGdHpXln
64,python videos by durgasoft,Durga Software Solutions,PLd3UqWTnYXOmzcSdWIh-EggqAtCXvJxzu
65,"Video Corso Python 3 -  Impara a Programmare in Python 3 - Impara le Basi Della Programmazione, con Python! Corso Italiano",PyMike,PLHUQL6-_n9Zes1VLMgJbLa8IIOHT9x4Nu
66,PyGame with Python 3 Game Development,sentdex,PLQVvvaa0QuDdLkP8MrOXLe_rKuf6r80KO
67,零基础入门学习Python,C鱼,PLLUsl4SYy5wFtX-VCW5gft6SgLbVOH2Y5
68,Programación en Python || Programación ATS,Programación ATS,PLWtYZ2ejMVJnh0KVllw24XklzJ62WNFsj
69,Python Plays: Grand Theft Auto V,sentdex,PLQVvvaa0QuDeETZEOy4VdocT7TOjfSA8a
70,python基础 中文,莫烦Python,PLXO45tsB95cIRP5gCi8AlYwQ1uFO2aQBw
71,[Hindi]Machine Learning Tutorial For Beginners in Python 2019,Knowledge Shelf,PLkPmSWtWNIyQtpYf0Iq-myisH__8gRy4k
72,PYTHON PROGRAMMING FOR BEGINNERS,Sundeep Saradhi Kanthety,PLLOxZwkBK52DmuHRO3UNpqAzDF57FtIxk
73,Python for Everybody - Exploring Information (PY4E),Chuck Severance,PLlRFEj9H3Oj7Bp8-DfGpfAfDBiblRfl5p
74,Class 12 Board | Python | Computer Science,Apni Kaksha,PLKKfKV1b9e8oyESqu5mrGN-eDxHdNoi_j
75,MOOC: Python (파이썬 강좌),TeamLab,PLBHVuYlKEkUJvRVv9_je9j3BpHwGHSZHz
76,NPTEL: Joy of computing using Python,RAY P,PLqftY2uRk7oXvERQEgATSr-KzAh8WLW_D
77,Belajar Python Bahasa Indonesia [Dasar],Kelas Terbuka,PLZS-MHyEIRo7cgStrKAMhgnOT66z2qKz1
78,Machine Learning Tutorial Python | Machine Learning For Beginners,codebasics,PLeo1K3hjS3uvCeTYTeyfe0-rN5r8zn9rw
