,course,channel_name,playlist_id
54,Belajar javascript untuk pemula,Sekolah Koding,PLCZlgfAG0GXAiH1acKFPx8EtpJAq44gjP
55,JavaScript ES6 / ES2015 Tutorials,Traversy Media,PLillGF-RfqbZ7s3t6ZInY3NjEOOX7hsBv
56,Object Oriented JavaScript,The Net Ninja,PL4cUxeGkcC9i5yvDkJgt60vNVWffpblB7
57,JavaScript Lernen für Anfänger bis Profis,The Morpheus Tutorials,PLNmsVeXQZj7qOfMI2ZNk-LXUAiXKrwDIi
58,JavaScript for beginners اساسيات الجافا سكربت,TheNewBaghdad,PLF8OvnCBlEY0fv5T2yTMroCAjKEcWV770
59,Curso de JavaScript para principiantes,Jesús Conde,PLEtcGQaT56cij4cilDUzKYcu6-wW44kTx
60,JavaScript for Web Browser (생활코딩),생활코딩,PLuHgQVnccGMDTAQ0S_FYxXOi1ZJz4ikaX
61,JavaScript 網頁前端工程入門教學,彭彭的課程,PL-g0fdC5RMbpqZ0bmvJTgVTS4tS3txRVp
62,Javascript,PHP-MySQL by Saurabh Shukla Sir,PLEiPMJpUdbj7t8YCcKvame-RBlNIQeh01
63,Curso de Javascript - Para quem quer aprender Javascript de verdade de forma objetiva e clara,CFBCursos,PLx4x_zx8csUj3IbPQ4_X5jis_SkCol3eC
64,Curso de JavaScript (Universidade XTI),Java&Cia,PLxQNfKs8YwvEk85FbeXxDnFecAntIQdRf
65,Curso de javaScript,codigofacilito,PLpOqH6AE0tNhQ3KW1DPc18xZfLfjX5Xuz
66,Javascript dan DOM (Document Object Model),Web Programming UNPAS,PLFIM0718LjIWB3YRoQbQh82ZewAGtE2-3
67,Уроки JavaScript с нуля (ну ваще с нуля),IT-KAMASUTRA,PLcvhF2Wqh7DPD5sRK3lw4bjBsKdgY2bPi
68,JavaScript tutorial for beginners in Urdu/Hindi,Fiaz Waheed,PLyRp6eha-9djA3puSOYHENI_II4W1zc7n
69,Modular Javascript,LearnCode.academy,PLoYCgNOIyGABs-wDaaxChu82q_xQgUb4f
70,Практика JavaScript,Web Developer Blog,PLVfMKQXDAhGW0p_BEEe47UkCgNoS_dyki
71,JavaScript30,Wes Bos,PLu8EoSxDXHP6CGK4YVJhL_VWetA865GOH
72,Javascript For Beginners,Dev Ed,PLDyQo7g0_nsX8_gZAB8KD1lL4j4halQBJ
73,Curso de Javascript Completo GRÁTIS!,keven jesus,PLBnXXDBNZQpJKH1Fx2EAbKbG9p_dV_pKW
74,Javascript course,Hitesh Choudhary,PLRAV69dS1uWSxUIk5o3vQY2-_VKsOpXLD
75,❤ JAVASCRIPT ❤ Curso Español [Desde Cero],Bluuweb !,PLPl81lqbj-4I11QPam9ApoT7tGbmyBg9P
76,JAVASCRIPT LANJUTAN,Web Programming UNPAS,PLFIM0718LjIUGpY8wmE41W7rTJo_3Y46-
77,Curso em Vídeo - JavaScript,Jorge Clênio,PLntvgXM11X6pi7mW0O4ZmfUI1xDSIbmTm
78,Javascript - Programming Language | Tutorial,Mike Dane,PLLAZ4kZ9dFpPQbcrA-SzALJeFm23tPrAI
79,Curso de Javascript para iniciantes,RBtech,PLInBAd9OZCzxl38aAYdyoMHVg0xCgxrRx
80,دورة تعلم JavaScript من الصفر حتى الاحتراف,Coder Shiyar,PLMTdZ61eBnyp1nMM8mGRzpwuu6FNxFy0D
81,Corso JavaScript livello base,AndreaRizzieri,PL1fahJjBIbre8chMLg-Cdocz8flV5k4Cu
82,تعلم جافا سكريبت JavaScript,Hassouna Academy,PLHIfW1KZRIfmiYYwt29BG7N9zzsd-jLRQ
83,JavaScript,Rodrigo Branas,PLQCmSnNFVYnT1-oeDOSBnt164802rkegc
84,Modern JavaScript Tutorial,The Net Ninja,PL4cUxeGkcC9haFPT7J25Q9GRB_ZkFrQAc
85,Javascript Examples &amp; Tutorials,Elzero Web School,PLDoPjvoNmBAxhsMvDrXldKClH7FdE8WSf
86,Curso de Javascript desde 0,Dorian Desings,PLROIqh_5RZeBAnmi0rqLkyZIAVmT5lZxG
87,JavaScript Video Tutorial,Derek Banas,PLBA965A22D89CF13B
88,Programowanie w JavaScript od podstaw w 1 miesiąc,Samuraj Programowania,PLTs20Q-BTEMPRSzhrlAuu7yus1BuOLVrS
89,JavaScript All You Need to Know | JS Bangla Tutorial | Stack Learner,Stack Learner,PL_XxuZqN0xVAu_dWUVFbscqZdTzE8t6Z1
90,Namaste 🙏 JavaScript,Akshay Saini,PLlasXeu85E9cQ32gLCvAvr9vNaUccPVNP
